Waypoint(Transform(Location(x=-73.270317, y=-174.605865, z=0.000000), Rotation(pitch=360.000000, yaw=-86.585358, roll=0.000000)))
Waypoint(Transform(Location(x=-73.115097, y=-176.212540, z=0.000000), Rotation(pitch=360.000000, yaw=-82.378571, roll=0.000000)))
Waypoint(Transform(Location(x=-72.842438, y=-177.803528, z=0.000000), Rotation(pitch=360.000000, yaw=-78.171753, roll=0.000000)))
Waypoint(Transform(Location(x=-72.453804, y=-179.370209, z=0.000000), Rotation(pitch=360.000000, yaw=-73.964966, roll=0.000000)))
Waypoint(Transform(Location(x=-71.951294, y=-180.904175, z=0.000000), Rotation(pitch=360.000000, yaw=-69.758209, roll=0.000000)))
Waypoint(Transform(Location(x=-71.337601, y=-182.397141, z=0.000000), Rotation(pitch=360.000000, yaw=-65.551407, roll=0.000000)))
Waypoint(Transform(Location(x=-70.616058, y=-183.841064, z=0.000000), Rotation(pitch=360.000000, yaw=-61.344604, roll=0.000000)))
Waypoint(Transform(Location(x=-69.790535, y=-185.228165, z=0.000000), Rotation(pitch=360.000000, yaw=-57.137817, roll=0.000000)))
Waypoint(Transform(Location(x=-68.865471, y=-186.550964, z=0.000000), Rotation(pitch=360.000000, yaw=-52.931046, roll=0.000000)))
Waypoint(Transform(Location(x=-67.845879, y=-187.802353, z=0.000000), Rotation(pitch=360.000000, yaw=-48.724258, roll=0.000000)))
Waypoint(Transform(Location(x=-66.737228, y=-188.975571, z=0.000000), Rotation(pitch=360.000000, yaw=-44.517456, roll=0.000000)))
Waypoint(Transform(Location(x=-65.545502, y=-190.064301, z=0.000000), Rotation(pitch=360.000000, yaw=-40.310669, roll=0.000000)))
Waypoint(Transform(Location(x=-64.277130, y=-191.062668, z=0.000000), Rotation(pitch=360.000000, yaw=-36.103882, roll=0.000000)))
Waypoint(Transform(Location(x=-62.938919, y=-191.965317, z=0.000000), Rotation(pitch=360.000000, yaw=-31.897095, roll=0.000000)))
Waypoint(Transform(Location(x=-61.538113, y=-192.767380, z=0.000000), Rotation(pitch=360.000000, yaw=-27.690308, roll=0.000000)))
Waypoint(Transform(Location(x=-60.082245, y=-193.464493, z=0.000000), Rotation(pitch=360.000000, yaw=-23.483521, roll=0.000000)))
Waypoint(Transform(Location(x=-58.579159, y=-194.052948, z=0.000000), Rotation(pitch=360.000000, yaw=-19.276733, roll=0.000000)))
Waypoint(Transform(Location(x=-57.036949, y=-194.529556, z=0.000000), Rotation(pitch=360.000000, yaw=-15.069946, roll=0.000000)))
Waypoint(Transform(Location(x=-55.463943, y=-194.891754, z=0.000000), Rotation(pitch=360.000000, yaw=-10.863144, roll=0.000000)))
Waypoint(Transform(Location(x=-53.868599, y=-195.137573, z=0.000000), Rotation(pitch=360.000000, yaw=-6.656372, roll=0.000000)))
Waypoint(Transform(Location(x=-52.259521, y=-195.265701, z=0.000000), Rotation(pitch=360.000000, yaw=-2.449570, roll=0.000000)))
Waypoint(Transform(Location(x=-50.616276, y=-195.275085, z=0.000000), Rotation(pitch=360.000000, yaw=1.439560, roll=0.000000)))
Waypoint(Transform(Location(x=-48.616905, y=-195.224838, z=0.000000), Rotation(pitch=360.000000, yaw=1.439560, roll=0.000000)))
Waypoint(Transform(Location(x=-46.617538, y=-195.174591, z=0.000000), Rotation(pitch=360.000000, yaw=1.439560, roll=0.000000)))
